filename,title,author,type,notes
data/demo_covers/dune.png,Dune,Frank Herbert,cover,synthetic demo cover
data/demo_covers/the_iliad.png,The Iliad,Homer,cover,synthetic demo cover
data/demo_covers/the_art_of_war.png,The Art of War,Sun Tzu,cover,synthetic demo cover
data/demo_covers/1984.png,1984,George Orwell,cover,synthetic demo cover
data/demo_covers/dracula.png,Dracula,Bram Stoker,cover,synthetic demo cover
data/demo_covers/frankenstein.png,Frankenstein,Mary Shelley,cover,synthetic demo cover
data/demo_covers/the_hobbit.png,The Hobbit,J. R. R. Tolkien,cover,synthetic demo cover
data/demo_covers/moby_dick.png,Moby Dick,Herman Melville,cover,synthetic demo cover
data/demo_covers/pride_and_prejudice.png,Pride and Prejudice,Jane Austen,cover,synthetic demo cover
data/demo_covers/crime_and_punishment.png,Crime and Punishment,Fyodor Dostoevsky,cover,synthetic demo cover
data/demo_covers/brave_new_world.png,Brave New World,Aldous Huxley,cover,synthetic demo cover
data/demo_covers/the_odyssey.png,The Odyssey,Homer,cover,synthetic demo cover
